Review Text,Overall Rating,Origin,Destination,Flight Type,Date of Travel,Legroom,Seat Comfort,In-flight Entertainment,Customer Service,Value for Money,Cleanliness,Check-in and Boarding,Food and Beverage
"Absolutely horrible. You have to pay for a seat, even though you have already spent a lot of money on business class. Food was atrocious. I ordered a special vegan meal and got soggy rice and soggy vegetables. Worst meal ever on a flight and that’s including experience in economy class as well. Also, they gave us food when we got on and then nothing again for 11+ hours. I was starving. Could not believe we had to wait that long on a 14 hour flight! Customer service was mediocre at best. Compared  to Japan airlines, which we flew over with, BA have A LOAD to learn from. JAL are amazing. Loads of 5 star food. You could order off  a la carte menu at any stage (which I didn’t as I was so full) in flight. Staff were so accommodating and went out of their way. They genuinely seemed happy in their jobs. Honestly, would not fly BA again.",1.0,Tokyo,London,International,May 2024,3.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0
"Shop around business class before buying BA flights! I’ve been flying United and Virgin between the US and London. For no reason gave BA a try when the prices were similar on other airlines. AFTER you buy your business seat, you realize you must pay additional $179 each way to select a seat! You can wait, but when I did, the seats left a week prior to the flight  were subpar. The Boeing suite is fine, similar to United and more new than virgin. But the airbus is absolutely terrible - the business seats are facing each other and many of the dividers are broken so you’re staring a stranger in the face and there is no way to re-seat. There is no privacy in the aisle facing seats and they have no storage space except the tiny flat drawer for a book below the feet. No cubby hole or place to store even their blanket. The “flat seat” is made of a regular seat that slides and the footstool that lowers. The person by the EJ dow has to step over someone’s legs to get to the bathroom and there is no half wall or anything separating the seat from the aisle, just a narrow handle bar. A small tv screen pops out. I can’t believe I paid extra for the seat. And given just ok lounges, definitely not worth flying them again.",1.0,Washington DC,London,International,May 2024,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0
"I had to cancel a companion voucher on the 1st of April 24 and since then (today 15/05/24) they still have not reissue it as they are having some technical problems. The Customer Service is utterly useless, nobody takes responsabilities nor follows through. They can only say: There is nothing else that we can do, we have sent the relevant department a message. Horrible experiece, causing me a lot of stress. On top of that the voucher expires in June and they are not willing to extend it. Just disgraceful. Would not recomend it.",1.0,London,Rio de Janeiro,International,April 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Great airline but f you’re rich white old British or not of color. Paid $75 for a better seat-wound up by the toilet. Missed connection because they canceled an earlier flight and just funneled those people to mine. So not missed-BA overbooked and the funneled somehow got priority. Got standby on a flight a few hours later. Gate was posted 10 minutes before boarding. Two people arrived at the gate AFTER me- and I was there 3 minutes after gate information FINALLY showed-a skinny Asian chick and British chick. They got on; I did not. Only three didn’t -the black people. Ask the 20 something agent how come when I thought standby was first come first served. Her glib answer:”I’m not the one who picks who gets on”. Another example of English exceptionalism; another blatantly racist English company. I paid TOP DOLLAR FOR THIS VACATION. An entire day wasted in a London airport. As they say “brilliant”,1.0,Seattle,Rome,International,May 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Never fly BA they are #toobigtocare about their customers they lost my baggage on outbound and inbound flights ruined short family vacation on anniversary of father in laws death  and will do NOTHING about it. #BA don't care about its customers at all or the harm they do. #britishairways,1.0,London,Edinburgh,Domestic,January 2024,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
"I travelled with British Airways last Saturday from London to Atlanta. They clearly overbooked the flight and didn't have enough room for all the luggage so they purposefully left our luggage and others behind. After waiting for three hours into the night at ATL, we were told our suitcases would have to be located and would be brought to the address we provided. Today is Tuesday and British Airways has made no initiative to offer any information or compensation for the problem. We have been calling every day to hear any available news and all we know is that the luggage was sent on the next-day flight but has not been scheduled for delivery yet. There seems to be no consideration whatsoever for the rights and needs of the client in this case.",1.0,London,Atlanta,International,May 2024,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0
"I was returning from visiting my son in Seattle to Heathrow. (I bought drinks and snacks deliberately because of poor service by BA on my way out.)
The flight leaving Seattle was two hours late. Firstly they were frantically trying to persuade passengers to delay their flight.. the plane sent was allegedly too small, leaving 30 passengers over capacity. 
Secondly they claimed the catering company were on the plane and no one even the crew  could board until they finished. Next, the crew are on board but the catering company had left a mess and they had to tidy up. 
Folk with connections were told, nothing could be done until we were in the air. A very worrying time for them. Thirdly once we were on board, the staff looked fed up, disinterested, if anything totally unsympathetic to worried passengers. The food was poor. Breakfast was a bacon roll, no choice seemingly. 
Unlike other airlines, there were no drinks offered during the nine hour flight, other airlines offer iced lollipops and water or juice. 
Staff training is in great need. They don’t smile, look untidy and everything seems an annoyance to them. 
On my way from London to Seattle, a member of staff shouted at a passenger for ringing the help button, they needed help because the entertainment monitor wasn’t working…. the staff had not switched it on. No apologies to the poor embarrassed passenger. 
I am a frequent flyer… never with BA ever again!",1.0,Seattle,London,International,May 2024,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
"Our flight outbound ran smoothly and efficiently and we were very pleased with the service. Unfortunately the same cannot be said for our inbound flight home. The check in desk did not open until 1 hour and 25 minutes before our flight was due to depart, something I have never experienced, leaving us with little time to no time to get through security and browse any stores within the airport and an extremely long queue at the desk. On board there was no food to purchase other than crisps and chocolate which was very disappointing as we had not eaten since 9am and food was somehow still available for those in the higher class though, my guess would be due to poor time management as check in was also late as stated and possibly there was not time to load sandwiches etc on board which I feel is unacceptable as passengers did not have time to eat at the airport because of the late check in and then could not purchase food onboard.
Upon arriving home we then endured a 40-45 minute wait for our luggage to arrive as luggage from another flight as well as our own was being loaded onto the same baggage collection belt causing a large queue of passengers waiting for baggage in one area. As stated before our flight outbound ran smoothly so I would like to assume this is an unfortunate experience and if booking with British airways in future this would not happen but I am weary of using them in future.",3.0,London,Tenerife,Europe,May 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"We made 2 separate bookings, for myself and my uncle and aunt. My uncle and aunt are elder people more than 78 years old. British Airways says that you can reserve your seats free of charge 48 hours before departure in order to prevent not seating together. below you can see what British Airways says on their website:

Reserve seats now for free
We recommend that you choose your seat as early as possible to get the one you want, and to avoid sitting separately from family or friends.

How to choose your seat
You can do this when booking your flight or afterwards through Manage My Booking.

If you have a booking, follow these simple steps:

Log in to Manage My Booking
Under 'Your booking details', click on your flight number
Under 'Seating', click on 'View or change seats for this flight' and follow the instructions on screen
Choose a seat

I entered today 48 hours before departure and the website gives an error. 

You should offer your clients a good service, and not treating clients as 1st, 2nd , 3rd category. you should give the same value of service to all passengers",1.0,Larnaca,London,Europe,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"I booked my flight to Doha , because BA and Qatar Airways are in partnership, I flew with Qatar. Anyway, when I tried to add a second luggage I couldn't as per BA website I was flying with different airlines and I could get help from the check-in desk staff, so I went into the the check-in desk and they charged me over £400 double the price of the ticket. I contacted custmer service and they only offered me £20 in compensation !!!disgusting and unreliable on the ground and in the air. Never ever will I fly with them.",1.0,London,Doha,International,March 2024,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
"I can’t believe how bad ba have become 4 flights all arrived late, arrived in Rome lost 2 checked in bags  3 arrived took 2 hours to go through the reporting system ?eventually these arrived 24 hours later 
Return flights well they did even better they lost 3 bags and only 2 arrived but  tried to call customer services (eventually if you are lucky you speak to some one)then you just get fobbed off absolutely a shambolic company and customer services really need some training",1.0,Manchester,Rome,Europe,May 2024,2.0,2.0,N/A,1.0,1.0,5.0,4.0,1.0
"BA have become super greedy, plus they use poor business tactics - they bite their nose to spite their eyes. 
My fight on 11st May in the morning with other provider was massively delayed and there was a BA filght in 2.5 hours time with check in desk open. Not a massive queue. A few people from my delayed flight had the same idea - to see if we can buy a ticket for this flight. BA obviously quickly realised the demand and swiftly increased their ticket price from 70 to nearly £500 for return! 
There were plenty seats available, so I thought they would wait until last minute for opportunity to sell at highest price and then maybe reduce the price to allow more customers to afford their flights as it was not filled in anyway. 
But no, they didn’t reduce and all those who wanted to buy tickets for more reasonable price chose not to go with them as it was silly to pay extra £400 to save 3-4 hours. 
I would pay perhaps an extra 50-100 but 400 for the sake of 3-4 hours is ridiculous and not worth it.
If they made more reasonable many customers from my delayed flight would go with BA. Obviously nobody bought for an extortionate price
Their business approach seems silly as they chose to fly with empty seats rather than taking up more customers from another delayed flight which would somewhat increase their income. 
Greedy for business opportunities but not well thought through approach.",1.0,Prague,London,Europe,May 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DO NOT FLIGHT WITH THIS AIRLINE OR ANY OF THEIR AFFILIATES !! ABSOLUTE SCAMMERS AND MONEY HUNGRY CORPORATION PREYING ON THE MIDDLE CLASS!!!! We arrived at LHR on Sunday at 2:20pm – we were running late due to lack of experience with London traffic and went to the Self-Check In kiosk to receive our boarding passes and head to the line to check-in our bags. We were surprised to see that our tickets could not be printed so we went to speak to a Representative. Shortly after we started speaking with Charlie, he told us that our tickets had been cancelled because we did not board our initial flight (we booked 2 separate round-trip tickets in February 2024). We then had a family emergency and had to make our way to mainland Europe before our flight to London. We have NEVER flown with British Airways before this (and WILL NEVER AGAIN) so we did not know that we were supposed to call if we were going to miss a flight?!!? Especially since they DID NOT CALL OR EMAIL SAYING OUR TICKETS WERE CANCELLED !!!! With that being said, we did not call and instead, we remained confident that the flights that we BOOKED, PAID FOR AND HAD CONFIMATIONS FOR, were still VALID to get home. We NEVER received an email saying that our tickets were cancelled or no longer valid, or that we would not be able to board our flight home to the USA. WE HAVE NOT BEEN REFUNDED OF OUR ORIGINAL FLIGHTS EITHER! They confirmed that there were still seats AVAILABLE on our original flight (BA0189), but he explained to us that we would have to book BRAND NEW tickets at the current rates for a “Last Minute Booking” (even though we had booked these 60+ days in advance) and that we could not book it with him and had to CALL the Customer Care hotline who then charged us an ADDITIONAL $350 TO PROCESS THE TICKETS ?!?! and only told him ONCE THE ORDER WAS BASICALLY COMPLETE. My fiancé had to book NEW tickets at the current rate of $2,668.12 per person for BASIC ECONOMY, spending FIVE THOUSAND THREE HUNDRED DOLLARS to get home. So here we are, an ocean away from home with a $5,336.24 bill standing in front of us and little to no help from BA. I was hysterically crying; We work modest jobs and make a little over $5,000 a month COMBINED. We saved for so long to be able to afford this trip in general so to be given a $5,336 bill to get home was EARTH SHATTERING. And as I am crying and my fiancé is shaking, THE MANAGER SAYS TO US 'I KNOW THIS IS A DIFFICULT SITUATION BUT YOU HAVE TO UNDERSTAND, ITS REVENUE FOR THE COMPANY' !!!!!!!
After that heinous comment, we gathered our belongings and stepped aside to speak with the Customer Care representative that was provided to us from the BA representatives at the airport – We did as they recommended and we were then charged an additional 300 GBP / 375 USD to BOOK new tickets – something that I could have done manually on my iPhone FOR FREE. Completely defeated, we went back to the desk about 35 minutes later and gave them our new Booking Reference number to board flight and then they told us that this NEW flight that we had JUST booked with THEIR Customer Care unit has CLOSED ITS CHECK IN SO WE COULD NOT CHECK IN FOR THIS NEW, $5336, FLIGHT. So, we had to then pivot AGAIN and board a LATER flight going to JFK instead of EWR, which is an extra HOUR and 20 MINUTES in travel time once we landed in the USA. We then were REBOOKED, which was 2 hours later than our original flight, to an airport that is 1 hour and 20 minutes further away from our home than EWR. $5,336.24 + 3 hours and 20 minutes of additional travel time + no meal accommodations on the plane. I have SEVERE food allergies; I carry an Epi-Pen with me wherever I go, and I had to Pre-Book a Vegan meal for our original flight. With all the changes and cancellations, I was put on a 7-hour flight with no food. We were given two $10 vouchers and access to the lounge. However, $20 in an airport can barely buy you a prepacked sandwich (that I cannot eat anyways) and 15 minutes in a lounge does NOT remotely equate to the $5,336.24 expense and pure stress that we have felt since Sunday. We have been losing sleep over this bill. We submitted a claim and will not hear back for 4-8 WEEKS & THERE IS NO PHONE NUMBER - EVERYTHING IS DONE ONLINE VIA A ROBOT CHAT!!!!!! DO NOT BOOK WITH THEM!!!!! THEY ARE PREDATORS!!!!!!!",1.0,London,Newark,International,May 2024,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
"My son ‘s suitcase which contained  birthday and Christmas presents ( mainly expensive clothes) never arrived at destination and I reported immediately. A few weeks later, the suitcase was apparently “found” and we were messaged to expect a delivery within 72 hours. It never happened. 3 months on, in spite of countless calls, the status of my luggage is still :  “ baggage found, arrived at destination ready to be delivered” but no-one is able to give me any answer about is what to do next or what happened . Eventually , we filed claim for compensation and have no annswers from customer service. As a last resort, we even went to Lyon airport to see if it wasn’t there ourselves. It is an absurd situation. I am really disappointed by the treatment we have received from British Airways.",1.0,London,Lyon,Europe,March 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The flight was alright and the service on the plane was decent. However they forced me to check my bag that was well within the carry on limits because the “flight was too packed” and then the flight had maybe 30 people on it. They then proceeded to lose my checked bag and the checked bag of a friend I was flying with and told us it may be several days till we receive our missing luggage. Terrible service do NOT recommend!!,1.0,London,Barcelona,Europe,April 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tuesday 16th April we travelling on board British Airways Flight BA2645 from London Gatwick to Malaga, Spain.

We were scheduled to depart at 16.25 arriving at 20.20. A scheduled flight of two hours fifty-five minutes as Spain is an hour ahead of the UK.

Worryingly we did receive an email from the airline, the night before, advising us of the possibility of a delay due to Air Traffic Control restrictions due to adverse weather conditions over Europe.

Thankfully this was just a precautionary notice and on the day everything went smoothly.

We commenced boarding at 16.00 and was completed at 16.18 and doors closed. The aircraft pushed back from the terminal at 16.30 and airborne at 16.43, roughly eighteen minutes behind scheduled.

We were informed by the Captain that our 1,100 mile flight would take two hours and twenty-five minutes and that we would be arriving ahead of schedule.

We were travelling in the Club Europe Cabin and we had three seats, with the central seat adapted into a table. However the legroom was a bit miserly and we were not overly impressed.

Shortly after take-off we were given the menu card detailing the food options which were, black rice and quinoa salad, mushroom and leek pie, Caeser Salad with flaked salmon and lemon and thyme chicken, not very inviting.

About half an hour into the flight we were offered a drink from the bar, which was served with a small bag of nibbles. The crew commenced serving the food about forty minutes later 

By the time the food trolley had got to row 5, we were in row 7, the Caeser Salad had run out as only four were loaded. When we were offered a meal we declined and advised the member of crew, serving us, that the options were poor, she agreed with us 

Once food served and cleared in this was followed by another drinks round. Shortly after that the cabin was made ready for landing.

We landed ar 19.51 Local time which was almost half an hour ahead of schedule, always a good start a holiday.

The aircraft was an Airbus A320

Landing early is definitely deserves a very good rating, however poor food and miserly legroom certainly lower the rating. We certainly not recommend Club Europe as value for money.",2.0,London,Malaga,Europe,April 2024,2.0,3.0,N/A,3.0,2.0,3.0,N/A,1.0
"Extremely rude ground staff at Heathrow Airport. I have NEVER experienced such unprofessional behavior at any airport world wide. Flight attendants not helpful at all. Definitely not recommended. BA, please, train your staff properly and teach them what manners are.",1.0,Cape Town Central,London,International,April 2024,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
Awful service uncomfortable seats staff dosnt want to be there it’s like they’re forced to do the job.. if you don’t like your job find another don’t torture passengers !!,1.0,Doha,London,International,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Just returned from the Portobay Falesia Hotel and loved it! We booked a holiday via BA holidays at a very good price, it included side sea view room* half -board and transfers (additional cost) really good value for money! 
Firstly, let me say we were running late (due to traffic) to the airport but as we checked in online it was easy to do the bag drop – BA staff at the airport were helpful and we went through the ‘fast lane’ rather than queue.

On arrival it was easy to find our transfer kiosk and we only had to wait about 10mins before our driver came for us. We had a shared minibus with just another couple (who were so nice, pity they were not staying at our hotel) The journey took appx 35mins and we were dropped off in front of the hotel. (we later realised that some of the other tour companies do not offer this especially if your transfer is a standard coach, some will not go up the hill and have left holiday makers with luggage at the bottom of the road)

Hotel is beautiful, lovely, and very clean, it is right by the beach (via steps down to beach) Check in was quick and easy, staff very welcoming and courteous. On initially entrance to our room, it was nice and clean (although a little tad tired) and had everything we needed. The balcony is a good size however even though it is a side sea view room* it does face a car park. 
We wanted to pay the additional cost to try and change the room but there were none available at that time. To be honest where the room was positioned you quickly forget about the car park, you get a lot of sun in the afternoon, and it is ideal for sunbathing and chilling. There are many amenities and places to lounge in this hotel, the grounds and pool areas are well kept and clean.   We would happily stay in that room again!

The beach is beautiful and is adjacent to the hotel with direct access via steps appx 120. It is not as bad as it sounds and there is seating at each level should you need to rest on your way back up.

There is a bar/café that does snacks and meals with lovely views across the beach/sea etc. There are toilets and showers so you can spend the day comfortably.  The beach has many comfortable loungers with parasols attached. To  hire for the day it is appx 10 euros.

The food in the buffet restaurant was amazing, plenty of choices and they catered for everyone. Staff were always on hand and really looked after their customers (shout out to waitress Lara and all the staff /chefs in the restaurant) 

Housekeeping was visible every day and were friendly, they always asked if we needed anything as we chose not to have the room serviced, we were only there for a short time.
On our last day we wanted to spend it on the beach as our flight was in the evening and check-out is at 12pm. The hotel will provide you with a room to leave your belongings and a pass to continue using the facilities, however we wanted to have the comfort of staying in our room longer and was happy to pay the additional cost, thank you to reception manager/supervisor ( I think her name was Deborah, it began with a D) who was able to rearrange and organise this for us! 
I know this is a long review, but we really enjoyed our stayed at the Portobay Falesia and are booking again this year for a longer stay, we will book with BA again as we found they offered a better experience that some of the other tour companies!",5.0,London,Faro,Europe,April 2024,4.0,4.0,N/A,5.0,5.0,4.0,5.0,4.0
They lost my bag on my way to a 3 day trip. Had to buy new clothes/toiletries. They haven't settled my claim 6 months later.,1.0,Newcastle upon Tyne,Düsseldorf,Europe,November 2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awful website and equally awful customer service. Any interaction is painful. Better to move the whole account to a different airline.,1.0,London,Munich,Europe,December 2023,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0
"Let me begin by saying this was my last flight w BA. Delayed in Miami no fault of airline. We were sent to Zurich not Basel due to weather they claim. We waited 11 hours in Heathrow gave us $20 voucher for snack. Finally landed in Zurich 11:30 pm last train to Basel is 12. Not speaking the language we ran to find the train and get a ticket. Machine was working police thank God helped we got a tix one hour lasted train ended due to track work took a bus the rest of way. People were kind to help us. Got a taxi to hotel at 1:30 Am lost an entire day. Submitted recipes to BA they denied the claim will send us $17.20 
Paid a lot of business class was NOT worth it food was horrible service lacking. Seating old and hard. Will NEVER USE THEM AGAIN. Buyer beware.",1.0,Miami,Basel,International,April 2024,4.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0
"Wednesday 1st May and we were travelling from Heathrow, London to Dublin on board British Airways Flight BA 0836

Boarding was due to commence 12.40 with a departure time of 13.20 and landing at 14.40 an estimated flight time of one hour and twenty minutes.

A member of the ground crew, announced that boarding was slightly delayed due to 
cleaning and sanitation of the aircraft. At 13.00 Club Europe Class passengers, zone 1,  were asked to come forward which we did, then stood there till boarding commenced at 13.20.

We, along with other passengers, found the ground crew to be totally disinterested and appeared rude.

Boarding was completed at 13.40, the doors shut and the aircraft pushed back from the terminal at 13.45 and was airborne fifteen minutes later 14.00, this was forty minutes late.

We were travelling in Club Europe Cabin Which meant that we had three seats between us with the middle one acting as a table. There was no additional legroom, so disappointingly not overly spacious.

The Captain made an announcement and apologised for the delay, caused by late arrival of the aircraft and a technical issue that needed to be sorted. He did say that he would endeavour to make up some of the lost time.

Ten minutes after take-off the crew passed through the cabin offering Club Europe passengers a snack. There was a choice of Quinoa salad or avocado salad, neither appealed, we declined not the stuff we would eat, egg mayonnaise sandwich would have been great.

Hot on the heals of the food trolley followed the drinks trolley, we were offered additional drinks during the flight.

Was not impressed with most elements of this flight, ground crew, delay, legroom and food. The redeeming feature was the Crew, Sarah the Cabin Manager was superb a true professional.

Luckily this is a very short flight, fifty-five minutes and we landed in Dublin at 14.55, which was fifteen minutes late. It took a further ten minutes to get to terminal where we alighted from the aircraft by steps and walked into the terminal.",2.0,London,Dublin,Europe,May 2024,2.0,3.0,N/A,5.0,2.0,3.0,3.0,1.0
"I flew on the 20th April from LHR - SFO on an A380 the economy seats upstairs are good with the 2 - 4 - 2 config.  Staff were excellent and the food was good, thoroughly recommended.",5.0,London,San Francisco,International,April 2024,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
"Avoid this airline, the service both to and from Antalya made the likes of Ryanair and Easyjet look like luxury airlines.",1.0,London,Antalya,Europe,May 2024,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0
"Our flight from London to Tokyo was canceled less than 1 hour before we were due to fly. We were all checked in and waiting for the gate number to be called - we were told at the airport by a member of staff that there wasn’t enough staff scheduled for the flight and that’s why it got canceled. This meant we missed transfers etc after we arrived in Japan. Our flight was not rearranged for over 24 hours. On top of this when we received our baggage back from the plane after it all got taken off both of our bags had clearly been thrown off the plane onto the tarmac as we had purchased brand new bags for our trip and they were broken and severely scratched.

I spoke to citizens advice about the situation and they said we were liable for the highest grade of compensation. I lodged a complaint with BA in January and their team have still not contacted me. After calling multiple times at the 2 month mark I was told ‘the more you call the further back in the  cue your complaint will be.’ So I stopped calling in the hopes that I would hear from them soon. 

I am outraged that it has now been 4 months since I put forward my complaint to their customer service team and I have heard absolutely nothing. I would highly recommend using a different airline if you are looking to travel. There isn’t an ounce of customer service offered by this company and they do not care.",1.0,London,Tokyo,International,January 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Steer clear of British Airways! I broke my leg in March, contacted them immediately and followed their directions to a tee with a letter from my doctor stating I could not travel. I received a letter stating I would receive full credits with airline for future travel. I was shocked to receive an email two days ago about my check in for the “cancelled flights”. I began calling immediately. Every single phone call stated to call back later due to a large call volume (now I see why). I tried the online chat on their website. Guess what? It directed me to call them! I sent several emails. Guess what? Yes! I was instructed to call them. In a panic, I cancelled the flights deciding that it would open up the seats to other passengers and insure I would get my credits per the letter. Incredibly, late this afternoon I finally got through to customer service. They told me that even though I received the letter, I would still lose the credits due to cancelling the flights today. DO NOT USE THIS SCAM AIRLINE!",1.0,Austin,London,International,May 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"The flight was great and the flight attendants were superb!! But they cancelled our flight home leaving us stranded with no hotel and no answers. Couldnt get through to any staff member so i messaged the facebook page just to be sent contact numbers but guess what… NO ANSWER EITHER. Our new flight dates are different on the email and the apps but a staff member eventually replied confirming the date but just sent a link on how to claim back for expenses. Not much help for this moment in time, what if I didnt have the funds to afford a new hotel? I booked a package holiday so if yous can reschedule an annoying connecting flight to my destination you could have put us up for another night aswell. Disgrace! But this doesnt take away from the excellent service we received on board our flight. We actually felt like first class because there was alot included in and offered to us during our flight. Thanks for all that jazz but customer services what a load of whatever else fits at the end. I recommend flying to orlando with BA because of the on flight service not the phone operators :)",3.0,London,Orlando,International,May 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
They don't offer a decent meal but a small pack of a snack and a very small bottle of water. If you would like to have some coffee you have to pay for it. But the price for the ticket is not of a law cost airline.,1.0,London,Athens,Europe,May 2024,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
"Outbound flight from Heathrow was excellent. Crew attending to Economy could not do enough. Courteous, friendly and professional. Absolutely excellent. 
Inbound flight very poor. Economy service was very haphazard. The rear cabin toilet was apparently broken, (apart from when the crew were not using the galley area, when various passengers successfully used the facility). When the crew were in the area passengers were turned away. Presumably they did not want passengers using the toilet when they needed the space to work in. But a broken toilet? Poor food quality on return to the UK when it was very good on the outbound flight. The quality of two flights were so different. Used BA many times and have always found them to be good, but certainly not guaranteed for the future.",2.0,London,Bridgetown,International,April 2024,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0
"While the flight was ok and the flight stewards service was good, we were extremely disappointed by the fact that my wife was not able to access the in flight “entertainment “. Advised that it was merely a case of it needing to be “rebooted “ this did not solve the problem. She therefore had no option but to read a book she had brought with her. We had opted for the more expensive flight class in order to be able to be more comfortable with more leg room and better entertainment.

On the return we had a similar problem. A previous passenger had damaged the headphone socket so that it could not be used. Yet again one of  us was not able to make use of the in-flight entertainment. When we pointed this out we  were told there were no other seats available. What made it worse was that we had previously paid £294 in total in order to secure seats together on the flights there and back  on top of the much higher price for traveller plus.

When we reported this to BA on our return their response was a £20 (twenty pound) e-voucher to be taken by April 2025!",2.0,London,Singapore,International,April 2024,4.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0
"Zero leg room. Everyone touching the seats in front with both knees and I didn't see any basketball players amongst us.

And then the cabin crew have the cheek to tell us they are operating a very busy flight so please help them if customers are struggling with overhead storage space. NO. Take two rows of seats out and both issues solved !.",1.0,Oslo,London,Europe,May 2024,1.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0
"My Baggage was damaged and replaced by a Chinese made Poor quality luggage and company doesn't accept it back for financial compensation, I warn you accept o ly money for Demarest compensation everything they offer is just cheap crap. which didn't even matched the picture in the system.",1.0,London,Düsseldorf,Europe,March 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Travelled on a BA Staff travel yet the treatment is one of the worst. This is a 5 hours 10 mins long flight, A320 Is a comfortable Short to Mid distance Airliner, Decent seats. I dont know how BA are getting away with dishing out a Saggy Petrol station Wrap tastes like a cardboard which i left after a bite, a Horrible tasting bag of 10 olives, snall bag of crackers ,cheap and not nice Chocolate Mousse and a single chunk of Dairy Milk chocolate as their food option. NO entertainment NO in flight WiFi, No Screens ,Tablets..We all can accept the fact of a low cost airline company offering nothing which reflects on their fares  but what is not acceptable is PAYING £650 for a return flight and you get the same stuff as you get travelling on a low cost airline..as a matter of fact a Sandwich and a Coffee cost average £7 on a low cost airline yet you pay a fraction of BA fares. WORLDS FAVOURITE AIRLINE??? DREAM ON BA",1.0,London,Amman,International,May 2024,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0
"Our flight was cancelled as the old 787 broke down again. At least it was on the ground?? Nevertheless, BA did look after us hotel & information wise. The problems started when we finally returned to the UK. How to claim for your cancelled flight! Submit your claim then be ignored. Try to establish what further information they need is impossible. Can't call to speak with anyone to clarify, chat bots have no clue. Wrote a formal complaint, in hopes I could find out what extra information BA need but simply put back in the queue by them logging another claim???? Go figure? If you need to contact BA, Forget it. Use Singapore Airlines instead. I have used BA twice I can confirm a third time will not be happening. Irrespective of how much extra we have to pay. 

BA. Do better.  As you are, you most certainly are NOT the Worlds Favourite Airline. Treat your customers fairly. Its a good place to start.",2.0,Singapore,London,International,March 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Service brilliant as usual however not sure why BA give you a menu. This was our second trip this year the previous one to Johannesburg and 3 out of the 4 legs they did not have our choice of meal left after serving everyone one else.....,4.0,London,St. Lucia,International,April 2024,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0
"'Disgusted with the appalling customer service at Bengaluru @BengaluruAirline counter! Despite grieving my mom's loss and being in a highly depressed state, staff refused my cabin bag citing size issues, though it was allowed on previous trips. Forced to pay £170 or abandon bag containing my late mom's cherished items. No compassion, just cold demands. Even worse, saw oversized bags allowed on the plane. When I couldn't pay due to not having my debit card, they gave me 5 mins to decide or be left behind. No consideration for airport restrictions or my emotional state. And to add insult to injury, offered a measly £50 voucher to silence me, after years of loyalty. Shameful! #CustomerServiceFail'",1.0,Bengaluru,Belfast,International,April 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The worst airline I’ve ever flown. The air hostesses are unhelpful and unprofessional. Every single one of my flights has not left on schedule. I waited 2 hours on my trip to London for my luggage. 0/10. Will not be flying BA again.,1.0,London,Johannesburg,International,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
